cntry,min,max,ci95lo,ci95hi,mean_ratio_11_00
AT,3.6195652173913,8.81395348837209,4.22322031039136,7.30631252501,5.58102881876529
AU,26.7619047619048,569,41.0711538461539,189,88.2525240738115
BE,18.7272727272727,113.166666666667,24.1509259259259,66.9175,39.7282473275624
CH,2.2436974789916,4.90769230769231,2.58450320235416,4.25008802816901,3.33774282461297
CL,0.310173697270471,0.566666666666667,0.357306694764143,0.526785714285714,0.434972850605934
CZ,1.36480686695279,2.5031847133758,1.48056347686012,2.1025894723093,1.76771980642481
DE,4.60839160839161,9.0632911392405,5.23809523809524,7.79813865909372,6.36099845977801
DK,12.7222222222222,37,14.6244791666667,28.528,20.2238159216807
ES,3.40384615384615,6,3.70485668789809,5.36335927623262,4.45903974369444
FI,3.44354838709677,7.55072463768116,3.79674479166667,5.94075946643718,4.76476430718538
FR,8.65957446808511,32.2307692307692,9.97496951219512,21.4007142857143,14.6064510782209
GE,1.73604060913706,3.20472440944882,1.98354460165169,2.84511154518351,2.38072861685105
HR,1.82822085889571,3.59615384615385,2.07267191142191,3.0948275862069,2.51821354408169
HU,0.256880733944954,0.564245810055866,0.297425742574257,0.505497592295345,0.391290005317801
IL,1.85483870967742,3.7027027027027,2.02459372178623,3.24398134863702,2.57077377023092
IN,6.52380952380953,15.6486486486487,7.79159330985915,13.0888888888889,10.145736018045
IS,14,53.9285714285714,17.799512195122,37,25.441266595381
JP,0.544354838709678,1.08988764044944,0.639415760869565,0.961543715846994,0.784166276155909
KR,0.888059701492537,1.56923076923077,1.00383068921813,1.39819200407436,1.18729660571651
LT,0.386473429951691,0.823170731707317,0.44657550706527,0.706594569481726,0.564550841095492
NL,3.20454545454546,7.55223880597015,3.65251512982365,5.54550865800866,4.51049807283376
NO,7.97014925373134,21.2962962962963,9.53427858439201,17.4856060606061,12.6639199770476
PH,1.68595041322314,3.55263157894737,1.88882113821138,2.9540735126942,2.3636374041236
PL,0.624584717607973,1.10917030567686,0.70966275659824,1.01295525449437,0.85520109676304
RU,0.127450980392157,0.297872340425532,0.148357646206533,0.242973664201286,0.194050404577014
SE,14.5172413793103,106.25,18.3318181818182,53.128125,30.3969868374514
SI,1.12921348314607,2.26732673267327,1.32917951613604,2.02543468731736,1.64649107691617
SK,0.849315068493151,1.63975155279503,0.939763888888889,1.39328807740325,1.15118913202594
TR,1.0440251572327,2.28282828282828,1.19177353541242,1.83086776859504,1.48801122079566
TW,1.42574257425743,2.81451612903226,1.63932147790055,2.32035349351008,1.95230443382379
US,1.55144032921811,3.11724137931034,1.7511232718894,2.47059678522572,2.08515025977122
VE,1.89784946236559,3.60504201680672,2.14187062937063,3.1418428225318,2.58772319117548
ZA,0.952117863720074,1.39606126914661,1.01437326516739,1.27768366085162,1.13469878690242
